835.47,30.00,30.00,69.84,1
841.24,30.00,470.00,69.84,1
847.02,470.00,470.00,69.84,1
852.79,470.00,30.00,69.84,1
858.56,30.00,30.00,69.84,0
858.86,30.00,30.00,74.84,0
859.18,10.00,10.00,74.84,1
865.48,490.00,10.00,74.84,1
871.78,490.00,490.00,74.84,1
878.08,10.00,490.00,74.84,1
884.37,10.00,10.00,74.84,0
884.69,30.00,30.00,74.84,1
890.46,30.00,470.00,74.84,1
896.24,470.00,470.00,74.84,1
902.01,470.00,30.00,74.84,1
907.79,30.00,30.00,74.84,0
908.09,30.00,30.00,79.84,0
908.40,10.00,10.00,79.84,1
914.70,490.00,10.00,79.84,1
921.00,490.00,490.00,79.84,1
927.30,10.00,490.00,79.84,1
933.60,10.00,10.00,79.84,0
933.91,30.00,30.00,79.84,1
939.68,30.00,470.00,79.84,1
945.46,470.00,470.00,79.84,1
951.23,470.00,30.00,79.84,1
957.01,30.00,30.00,79.84,0
957.31,30.00,30.00,84.84,0
957.62,10.00,10.00,84.84,1
963.92,490.00,10.00,84.84,1
970.22,490.00,490.00,84.84,1
976.52,10.00,490.00,84.84,1
982.82,10.00,10.00,84.84,0
983.13,30.00,30.00,84.84,1
988.91,30.00,470.00,84.84,1
994.68,470.00,470.00,84.84,1
1000.46,470.00,30.00,84.84,1
1006.23,30.00,30.00,84.84,0
1006.53,30.00,30.00,89.84,0
1006.84,10.00,10.00,89.84,1
1013.14,490.00,10.00,89.84,1
1019.44,490.00,490.00,89.84,1
1025.74,10.00,490.00,89.84,1
1032.04,10.00,10.00,89.84,0
1032.35,30.00,30.00,89.84,1
1038.13,30.00,470.00,89.84,1
1043.90,470.00,470.00,89.84,1
1049.68,470.00,30.00,89.84,1
1055.45,30.00,30.00,89.84,0
1055.75,30.00,30.00,94.84,0
1056.07,10.00,10.00,94.84,1
1062.36,490.00,10.00,94.84,1
1068.66,490.00,490.00,94.84,1
1074.96,10.00,490.00,94.84,1
1081.26,10.00,10.00,94.84,0
1081.58,30.00,30.00,94.84,1
1087.35,30.00,470.00,94.84,1
1093.12,470.00,470.00,94.84,1
1098.90,470.00,30.00,94.84,1
1104.67,30.00,30.00,94.84,0
1104.97,30.00,30.00,99.84,0
1105.29,10.00,10.00,99.84,1
1111.59,490.00,10.00,99.84,1
1117.89,490.00,490.00,99.84,1
1124.18,10.00,490.00,99.84,1
1130.48,10.00,10.00,99.84,0
1130.80,30.00,30.00,99.84,1
1136.57,30.00,470.00,99.84,1
1142.35,470.00,470.00,99.84,1
1148.12,470.00,30.00,99.84,1
1153.90,30.00,30.00,99.84,0
1154.19,30.00,30.00,104.84,0
1154.51,10.00,10.00,104.84,1
1160.81,490.00,10.00,104.84,1
1167.11,490.00,490.00,104.84,1
1173.41,10.00,490.00,104.84,1
1179.71,10.00,10.00,104.84,0
1180.02,30.00,30.00,104.84,1
1185.79,30.00,470.00,104.84,1
1191.57,470.00,470.00,104.84,1
1197.34,470.00,30.00,104.84,1
1203.12,30.00,30.00,104.84,0
1203.42,30.00,30.00,109.84,0
1203.73,10.00,10.00,109.84,1
1210.03,490.00,10.00,109.84,1
1216.33,490.00,490.00,109.84,1
1222.63,10.00,490.00,109.84,1
1228.93,10.00,10.00,109.84,0
1229.24,30.00,30.00,109.84,1
1235.02,30.00,470.00,109.84,1
1240.79,470.00,470.00,109.84,1
1246.56,470.00,30.00,109.84,1
1252.34,30.00,30.00,109.84,0
1252.64,30.00,30.00,114.84,0
1252.95,10.00,10.00,114.84,1
1259.25,490.00,10.00,114.84,1
1265.55,490.00,490.00,114.84,1
1271.85,10.00,490.00,114.84,1
1278.15,10.00,10.00,114.84,0
1278.46,30.00,30.00,114.84,1
1284.24,30.00,470.00,114.84,1
1290.01,470.00,470.00,114.84,1
1295.79,470.00,30.00,114.84,1
1301.56,30.00,30.00,114.84,0
1301.86,30.00,30.00,119.84,0
1302.17,10.00,10.00,119.84,1
1308.47,490.00,10.00,119.84,1
1314.77,490.00,490.00,119.84,1
1321.07,10.00,490.00,119.84,1
1327.37,10.00,10.00,119.84,0
1327.69,30.00,30.00,119.84,1
1333.46,30.00,470.00,119.84,1
1339.23,470.00,470.00,119.84,1
1345.01,470.00,30.00,119.84,1
1350.78,30.00,30.00,119.84,0
1351.08,30.00,30.00,124.84,0
1351.40,10.00,10.00,124.84,1
1357.70,490.00,10.00,124.84,1
1364.00,490.00,490.00,124.84,1
1370.29,10.00,490.00,124.84,1
1376.59,10.00,10.00,124.84,0
1376.91,30.00,30.00,124.84,1
1382.68,30.00,470.00,124.84,1
1388.46,470.00,470.00,124.84,1
1394.23,470.00,30.00,124.84,1
1400.00,30.00,30.00,124.84,0
1400.30,30.00,30.00,129.84,0
1400.62,10.00,10.00,129.84,1
1406.92,490.00,10.00,129.84,1
1413.22,490.00,490.00,129.84,1
1419.52,10.00,490.00,129.84,1
1425.82,10.00,10.00,129.84,0
1426.13,30.00,30.00,129.84,1
1431.90,30.00,470.00,129.84,1
1437.68,470.00,470.00,129.84,1
1443.45,470.00,30.00,129.84,1
1449.23,30.00,30.00,129.84,0
1449.53,30.00,30.00,134.84,0
1449.84,10.00,10.00,134.84,1
1456.14,490.00,10.00,134.84,1
1462.44,490.00,490.00,134.84,1
1468.74,10.00,490.00,134.84,1
1475.04,10.00,10.00,134.84,0
1475.35,30.00,30.00,134.84,1
1481.13,30.00,470.00,134.84,1
1486.90,470.00,470.00,134.84,1
